"Step","cosmic-field-350 - immediate_reward","cosmic-field-350 - immediate_reward__MIN","cosmic-field-350 - immediate_reward__MAX"
"90413","0","0","0"
"90448","0","0","0"
"90526","0","0","0"
"90781","0","0","0"
"90847","0","0","0"
"90928","0","0","0"
"90973","0","0","0"
"91057","0","0","0"
"91181","0","0","0"
"91255","1","1","1"
"91394","0","0","0"
"91611","0","0","0"
"91714","0","0","0"
"91908","0","0","0"
"91942","0","0","0"
"91995","0","0","0"
"92298","0","0","0"
"92794","0","0","0"
"92960","0","0","0"
"92966","0","0","0"
"92978","0","0","0"
"93016","0","0","0"
"93024","0","0","0"
"93894","0","0","0"
"94113","0","0","0"
"94262","0","0","0"
"94291","0","0","0"
"94351","0","0","0"
"94380","0","0","0"
"94503","0","0","0"
"94622","0","0","0"
"95380","1","1","1"
"95640","0","0","0"
"95929","0","0","0"
"95983","0","0","0"
"96082","0","0","0"
"96177","0","0","0"
"96195","0","0","0"
"96201","0","0","0"
"96300","0","0","0"
"96454","0","0","0"
"96482","0","0","0"
"96550","0","0","0"
"96615","0","0","0"
"96891","0","0","0"
"96941","0","0","0"
"97056","0","0","0"
"97252","0","0","0"
"97343","0","0","0"
"97581","0","0","0"
"97781","0","0","0"
"98021","0","0","0"
"98045","0","0","0"
"98923","0","0","0"
"99193","0","0","0"
"99330","1","1","1"
"99385","0","0","0"
"99741","0","0","0"
"100294","0","0","0"
"100307","0","0","0"
"100337","0","0","0"
"100422","0","0","0"
"100438","0","0","0"
"100490","0","0","0"
"100511","0","0","0"
"100533","0","0","0"
"100666","0","0","0"
"101108","0","0","0"
"101179","0","0","0"
"101205","0","0","0"
"101427","0","0","0"
"101724","0","0","0"
"101786","0","0","0"
"101835","0","0","0"
"101843","1","1","1"
"102006","0","0","0"
"102107","0","0","0"
"102301","0","0","0"
"102337","0","0","0"
"102452","0","0","0"
"102486","0","0","0"
"102493","0","0","0"
"102547","0","0","0"
"102589","0","0","0"
"102640","0","0","0"
"103167","0","0","0"
"103288","1","1","1"
"103314","1","1","1"
"103343","0","0","0"
"103599","0","0","0"
"103686","1","1","1"
"103811","0","0","0"
"103968","0","0","0"
"104110","1","1","1"
"104112","0","0","0"
"104227","0","0","0"
"104320","0","0","0"
"104433","0","0","0"
"104526","0","0","0"
"104610","0","0","0"
"104782","0","0","0"
"104819","0","0","0"
"104891","0","0","0"
"105021","0","0","0"
"105130","1","1","1"
"105196","0","0","0"
"105241","0","0","0"
"105261","0","0","0"
"105406","0","0","0"
"105446","0","0","0"
"105519","0","0","0"
"105678","0","0","0"
"105975","0","0","0"
"106277","0","0","0"
"106469","0","0","0"
"106483","0","0","0"
"106584","1","1","1"
"106790","0","0","0"
"106846","1","1","1"
"106882","0","0","0"
"106909","0","0","0"
"106931","0","0","0"
"106943","0","0","0"
"107205","0","0","0"
"107367","1","1","1"
"107486","0","0","0"
"107788","0","0","0"
"107952","1","1","1"
"108460","0","0","0"
"108708","0","0","0"
"109007","0","0","0"
"109109","0","0","0"
"109117","1","1","1"
"109238","0","0","0"
"109260","0","0","0"
"109321","0","0","0"
"109790","0","0","0"
"109939","0","0","0"
"109949","0","0","0"
"109969","0","0","0"
"109984","0","0","0"
"110079","0","0","0"
"110163","0","0","0"
"110273","0","0","0"
"110476","0","0","0"
"110601","1","1","1"
"110880","0","0","0"
"111132","0","0","0"
"111182","0","0","0"
"111354","0","0","0"
"111582","0","0","0"
"111651","0","0","0"
"112119","0","0","0"
"112486","1","1","1"
"112599","0","0","0"
"112607","0","0","0"
"112641","0","0","0"
"112760","0","0","0"
"112836","0","0","0"
"112897","0","0","0"
"112986","0","0","0"
"113165","0","0","0"
"113173","0","0","0"
"113335","0","0","0"
"113349","0","0","0"
"113726","0","0","0"
"114008","0","0","0"
"114020","0","0","0"
"114410","0","0","0"
"114514","0","0","0"
"114734","0","0","0"
"114813","0","0","0"
"115095","0","0","0"
"115162","0","0","0"
"115202","0","0","0"
"115889","0","0","0"
"115966","0","0","0"
"116210","1","1","1"
"116466","2","2","2"
"116661","0","0","0"
"117157","0","0","0"
"117460","0","0","0"
"118012","0","0","0"
