"Step","kind-music-2 - mean_reward","kind-music-2 - mean_reward__MIN","kind-music-2 - mean_reward__MAX"
"55318","3.5","3.5","3.5"
"55415","2.8","2.8","2.8"
"55528","3.3","3.3","3.3"
"55721","4.2","4.2","4.2"
"55828","3.7","3.7","3.7"
"55925","3.5","3.5","3.5"
"56016","3.5","3.5","3.5"
"56133","3.8","3.8","3.8"
"56230","3.9","3.9","3.9"
"56333","4.5","4.5","4.5"
"56446","4.7","4.7","4.7"
"56533","4.6","4.6","4.6"
"56692","5","5","5"
"56789","3.8","3.8","3.8"
"56922","4.6","4.6","4.6"
"57093","6.2","6.2","6.2"
"57190","6.2","6.2","6.2"
"57273","5.6","5.6","5.6"
"57394","5.8","5.8","5.8"
"57523","5.7","5.7","5.7"
"57624","5.8","5.8","5.8"
"57729","5.9","5.9","5.9"
"57822","5.3","5.3","5.3"
"57903","5","5","5"
"57988","3.9","3.9","3.9"
"58101","2.4","2.4","2.4"
"58218","2.6","2.6","2.6"
"58313","2.8","2.8","2.8"
"58442","3.4","3.4","3.4"
"58537","3.1","3.1","3.1"
"58624","2.7","2.7","2.7"
"58721","2.7","2.7","2.7"
"58814","2.4","2.4","2.4"
"58933","2.5","2.5","2.5"
"59040","2.8","2.8","2.8"
"59135","2.6","2.6","2.6"
"59270","2.8","2.8","2.8"
"59369","2.9","2.9","2.9"
"59454","1.9","1.9","1.9"
"59547","1.9","1.9","1.9"
"59662","2.7","2.7","2.7"
"59789","3.4","3.4","3.4"
"59882","3.6","3.6","3.6"
"59985","3.8","3.8","3.8"
"60104","4.1","4.1","4.1"
"60207","4.6","4.6","4.6"
"60328","4.5","4.5","4.5"
"60441","4.5","4.5","4.5"
"60614","6.2","6.2","6.2"
"60695","6","6","6"
"60806","5.3","5.3","5.3"
"60901","4.5","4.5","4.5"
"61016","4.5","4.5","4.5"
"61127","5.1","5.1","5.1"
"61224","4.8","4.8","4.8"
"61333","4.8","4.8","4.8"
"61446","4.9","4.9","4.9"
"61601","5.8","5.8","5.8"
"61714","4.4","4.4","4.4"
"61853","5","5","5"
"61936","4.9","4.9","4.9"
"62061","5.6","5.6","5.6"
"62162","5.5","5.5","5.5"
"62263","4.7","4.7","4.7"
"62376","4.5","4.5","4.5"
"62455","4.1","4.1","4.1"
"62560","4.1","4.1","4.1"
"62671","3.6","3.6","3.6"
"62774","3.5","3.5","3.5"
"62875","3.5","3.5","3.5"
"62974","4","4","4"
"63079","3.4","3.4","3.4"
"63190","3.6","3.6","3.6"
"63293","3.8","3.8","3.8"
"63416","4.4","4.4","4.4"
"63549","5","5","5"
"63644","4.5","4.5","4.5"
"63771","4.8","4.8","4.8"
"63878","4.7","4.7","4.7"
"64047","6.3","6.3","6.3"
"64142","5.8","5.8","5.8"
"64227","5.7","5.7","5.7"
"64360","6.4","6.4","6.4"
"64503","6.9","6.9","6.9"
"64588","6.2","6.2","6.2"
