"Step","cosmic-field-350 - mean_reward","cosmic-field-350 - mean_reward__MIN","cosmic-field-350 - mean_reward__MAX"
"64325","4.9","4.9","4.9"
"64446","4.9","4.9","4.9"
"64541","4.8","4.8","4.8"
"64660","5.2","5.2","5.2"
"64771","5.6","5.6","5.6"
"64870","4.7","4.7","4.7"
"64987","4","4","4"
"65076","4.3","4.3","4.3"
"65239","6.2","6.2","6.2"
"65346","6.1","6.1","6.1"
"65441","6","6","6"
"65550","6.1","6.1","6.1"
"65665","6.6","6.6","6.6"
"65774","6.4","6.4","6.4"
"65871","5.9","5.9","5.9"
"65966","6","6","6"
"66135","6.9","6.9","6.9"
"66224","6.8","6.8","6.8"
"66359","5.8","5.8","5.8"
"66498","6","6","6"
"66595","6.1","6.1","6.1"
"66798","8.5","8.5","8.5"
"66893","7.7","7.7","7.7"
"66992","7.5","7.5","7.5"
"67087","7.7","7.7","7.7"
"67184","7.8","7.8","7.8"
"67291","6.9","6.9","6.9"
"67392","6.8","6.8","6.8"
"67473","5.6","5.6","5.6"
"67556","4.7","4.7","4.7"
"67721","5.9","5.9","5.9"
"67824","3.5","3.5","3.5"
"67917","3.7","3.7","3.7"
"68024","3.9","3.9","3.9"
"68125","4","4","4"
"68286","5.1","5.1","5.1"
"68385","4.9","4.9","4.9"
"68488","5.2","5.2","5.2"
"68609","6.1","6.1","6.1"
"68708","6.5","6.5","6.5"
"68807","5.4","5.4","5.4"
"68900","5.4","5.4","5.4"
"69013","5.4","5.4","5.4"
"69128","5.1","5.1","5.1"
"69215","5.1","5.1","5.1"
"69312","3.6","3.6","3.6"
"69469","5","5","5"
"69586","5.5","5.5","5.5"
"69685","5","5","5"
"69792","5","5","5"
"69899","4.7","4.7","4.7"
"70038","5.4","5.4","5.4"
"70163","5.9","5.9","5.9"
"70276","6.1","6.1","6.1"
"70363","5.9","5.9","5.9"
"70448","6","6","6"
"70535","4.3","4.3","4.3"
"70644","4","4","4"
"70749","3.9","3.9","3.9"
"70850","3.9","3.9","3.9"
"70947","4.1","4.1","4.1"
"71064","3.6","3.6","3.6"
"71169","3.2","3.2","3.2"
"71300","3.8","3.8","3.8"
"71387","3.6","3.6","3.6"
"71506","4.2","4.2","4.2"
"71627","5.3","5.3","5.3"
"71754","5.7","5.7","5.7"
"71851","5.7","5.7","5.7"
"71982","6.3","6.3","6.3"
"72077","6.2","6.2","6.2"
"72176","6","6","6"
"72281","6","6","6"
"72406","5.2","5.2","5.2"
"72509","5.8","5.8","5.8"
"72602","5.4","5.4","5.4"
"72705","4.8","4.8","4.8"
"72802","4.3","4.3","4.3"
"72921","4.3","4.3","4.3"
"73026","3.7","3.7","3.7"
"73165","4.1","4.1","4.1"
"73268","4.3","4.3","4.3"
"73355","4.2","4.2","4.2"
"73478","4.7","4.7","4.7"
"73571","4.3","4.3","4.3"
"73694","4.8","4.8","4.8"
"73837","5.4","5.4","5.4"
"73924","5","5","5"
"74013","4.7","4.7","4.7"
"74140","5","5","5"
"74237","4.6","4.6","4.6"
"74342","4.8","4.8","4.8"
"74439","4.9","4.9","4.9"
"74566","5.2","5.2","5.2"
"74673","5.4","5.4","5.4"
"74776","4.9","4.9","4.9"
"74879","4.1","4.1","4.1"
"74982","4.4","4.4","4.4"
"75097","5.1","5.1","5.1"
"75202","4.6","4.6","4.6"
"75303","4.6","4.6","4.6"
"75396","4.2","4.2","4.2"
"75495","4.3","4.3","4.3"
"75684","5.7","5.7","5.7"
"75785","5.9","5.9","5.9"
"75930","6.7","6.7","6.7"
"76025","6.8","6.8","6.8"
"76114","6.5","6.5","6.5"
"76227","6.4","6.4","6.4"
"76316","6.6","6.6","6.6"
"76419","6.7","6.7","6.7"
"76544","7.3","7.3","7.3"
"76623","7","7","7"
"76744","5.4","5.4","5.4"
"76957","7.1","7.1","7.1"
"77092","6.9","6.9","6.9"
"77185","6.8","6.8","6.8"
"77298","7.1","7.1","7.1"
"77377","6.5","6.5","6.5"
"77462","6.3","6.3","6.3"
"77559","6","6","6"
"77640","5.1","5.1","5.1"
"77795","6.2","6.2","6.2"
"77900","5.9","5.9","5.9"
"78017","3.8","3.8","3.8"
"78108","3.3","3.3","3.3"
"78217","3.6","3.6","3.6"
"78326","3.3","3.3","3.3"
"78425","3.4","3.4","3.4"
"78566","4.5","4.5","4.5"
"78683","5.4","5.4","5.4"
"78840","7.5","7.5","7.5"
"78929","6.5","6.5","6.5"
"79018","6.2","6.2","6.2"
"79117","6.2","6.2","6.2"
"79234","6.8","6.8","6.8"
"79333","6.6","6.6","6.6"
"79450","7.3","7.3","7.3"
"79561","7.6","7.6","7.6"
"79668","6.4","6.4","6.4"
"79779","5.8","5.8","5.8"
"79866","3.7","3.7","3.7"
"79969","4","4","4"
"80066","3.9","3.9","3.9"
"80153","3.8","3.8","3.8"
"80274","3.6","3.6","3.6"
"80383","3.8","3.8","3.8"
"80472","3.2","3.2","3.2"
"80551","2.8","2.8","2.8"
"80652","3.1","3.1","3.1"
"80775","3.5","3.5","3.5"
"80876","3.8","3.8","3.8"
"80971","3.5","3.5","3.5"
"81102","4.3","4.3","4.3"
"81191","4.3","4.3","4.3"
"81284","3.7","3.7","3.7"
"81387","3.6","3.6","3.6"
"81516","4.3","4.3","4.3"
"81633","5","5","5"
"81740","5.2","5.2","5.2"
"81855","5.2","5.2","5.2"
"81972","5.6","5.6","5.6"
"82079","6","6","6"
"82160","5.1","5.1","5.1"
"82247","5","5","5"
"82348","5.1","5.1","5.1"
