"Step","kind-music-2 - immediate_reward","kind-music-2 - immediate_reward__MIN","kind-music-2 - immediate_reward__MAX"
"142813","1","1","1"
"143066","0","0","0"
"143161","0","0","0"
"143284","0","0","0"
"143758","0","0","0"
"144014","0","0","0"
"144038","0","0","0"
"144040","0","0","0"
"144103","1","1","1"
"144324","0","0","0"
"144405","0","0","0"
"144585","0","0","0"
"144629","0","0","0"
"144679","0","0","0"
"145050","0","0","0"
"145070","0","0","0"
"145145","0","0","0"
"145221","0","0","0"
"145574","0","0","0"
"146039","0","0","0"
"146710","0","0","0"
"146956","0","0","0"
"147022","0","0","0"
"147024","0","0","0"
"147204","0","0","0"
"147214","0","0","0"
"147464","0","0","0"
"147699","1","1","1"
"149183","0","0","0"
"149282","0","0","0"
"149540","1","1","1"
"149853","0","0","0"
"150101","0","0","0"
"150161","0","0","0"
"150530","0","0","0"
"150732","0","0","0"
"150798","4","4","4"
"150875","1","1","1"
"150901","0","0","0"
"150947","0","0","0"
"150955","0","0","0"
"151100","0","0","0"
"151109","0","0","0"
"151256","0","0","0"
"151308","0","0","0"
"151482","0","0","0"
"151910","0","0","0"
"152226","0","0","0"
"152450","1","1","1"
"152548","0","0","0"
"152784","0","0","0"
"152925","0","0","0"
"153763","0","0","0"
"153987","1","1","1"
"154199","0","0","0"
"154342","0","0","0"
"154435","1","1","1"
"154558","0","0","0"
"154602","0","0","0"
"154606","0","0","0"
"154759","1","1","1"
"154773","0","0","0"
"154864","0","0","0"
"154916","0","0","0"
"155009","0","0","0"
"155059","0","0","0"
"155206","0","0","0"
"155281","0","0","0"
"155283","0","0","0"
"155367","1","1","1"
"155620","0","0","0"
"155957","0","0","0"
"156007","0","0","0"
"156184","0","0","0"
"156246","0","0","0"
"156494","0","0","0"
"156580","0","0","0"
"156975","0","0","0"
"157098","0","0","0"
"157147","0","0","0"
"157239","0","0","0"
"157593","0","0","0"
"158294","0","0","0"
"158633","1","1","1"
"158671","0","0","0"
"158824","0","0","0"
"158842","0","0","0"
"158961","0","0","0"
"158969","0","0","0"
"159235","0","0","0"
"159364","0","0","0"
"159535","0","0","0"
"159539","0","0","0"
"159652","1","1","1"
"159911","0","0","0"
"160004","0","0","0"
"160292","0","0","0"
"160357","1","1","1"
"160373","0","0","0"
"160479","0","0","0"
"160693","0","0","0"
"160719","0","0","0"
"160936","0","0","0"
"161033","1","1","1"
"161052","0","0","0"
